Year,Month,Cbs district,Name,Residential Area Type,Total Population,Gender Ratio,Total jobseekers,Academic,Unemployed job seekers,Estimated unemployed rate in city
2010,2,הדרום,תל שבע,מועצה מקומית,3869,0.934640523,1184,5,1180,0.306
2010,2,המרכז,אבן יהודה,מועצה מקומית,5985,0.954022989,170,58,169,0.0284
2010,2,המרכז,אליכין,יישוב כפרי,1578,1.035714286,57,5,57,0.0361
2010,2,המרכז,אלעד,מועצה מקומית,10619,0.857142857,377,33,373,0.0355
2010,2,המרכז,באר יעקב,מועצה מקומית,7154,0.795918367,264,35,258,0.0369
2010,2,המרכז,בית דגן,מועצה מקומית,3316,1.131147541,130,22,129,0.0392
2010,2,המרכז,"בני עי""ש",מועצה מקומית,3992,0.734375,222,43,216,0.0556
2010,2,המרכז,גבעת שמואל,מועצה מקומית,10400,0.925925926,260,102,260,0.025
2010,2,המרכז,גדרה,מועצה מקומית,10206,0.72489083,395,78,389,0.0387
2010,2,המרכז,ג'לג'וליה,מועצה מקומית,2809,0.966666667,59,0,59,0.021
2010,2,המרכז,גן יבנה,מועצה מקומית,9675,0.634703196,358,48,357,0.037
2010,2,המרכז,גני תקווה,מועצה מקומית,7038,0.90625,183,50,181,0.026
2010,2,המרכז,הוד השרון,עיר,25000,0.763848397,605,205,603,0.0242
2010,2,המרכז,זמר,מועצה מקומית,2440,0.533333333,184,1,184,0.0754
2010,2,המרכז,טייבה,מועצה מקומית,14778,0.774354704,2131,8,2121,0.1442
2010,2,המרכז,טירה,מועצה מקומית,8930,1.131034483,309,7,308,0.0346
2010,2,המרכז,יבנה,מועצה מקומית,18092,0.909722222,1100,73,1097,0.0608
2010,2,המרכז,יהוד,מועצה מקומית,15366,0.716374269,587,81,560,0.0382
2010,2,המרכז,כוכב יאיר,מועצה מקומית,5300,0.701754386,97,43,96,0.0183
2010,2,המרכז,כפר ברא,יישוב כפרי,1015,1.222222222,20,1,20,0.0197
2010,2,המרכז,כפר יונה,מועצה מקומית,9578,0.68558952,386,61,380,0.0403
2010,2,המרכז,כפר סבא,עיר,46218,0.823529412,1271,369,1262,0.0275
2010,2,המרכז,כפר קאסם,מועצה מקומית,6545,1.076923077,216,2,215,0.033
2010,2,המרכז,לוד,עיר,33016,0.782110092,2331,197,2318,0.0706
2010,2,המרכז,מודיעין-מכבים-רעות*,עיר,36885,0.747572816,900,348,892,0.0244
2010,2,המרכז,מזכרת בתיה,מועצה מקומית,5574,0.813186813,165,34,163,0.0296
2010,2,המרכז,נס ציונה,עיר,20056,0.821882952,716,164,709,0.0357
2010,2,המרכז,נתניה,עיר,94748,0.85119273,4889,795,4825,0.0516
2010,2,המרכז,סביון*,יישוב כפרי,1623,1.111111111,19,8,19,0.0117
2010,2,המרכז,פרדסייה,מועצה מקומית,3469,0.574074074,85,15,83,0.0245
2010,2,המרכז,פתח תקווה,עיר,109100,0.794407895,4364,857,4336,0.04
2010,2,המרכז,קדימה-צורן,מועצה מקומית,8596,0.801470588,245,72,244,0.0285
2010,2,המרכז,קלנסווה,מועצה מקומית,7148,0.691312384,915,2,909,0.128
2010,2,המרכז,קריית עקרון,מועצה מקומית,5450,0.985714286,278,20,272,0.051
2010,2,המרכז,ראש העין,עיר,20527,1.024657534,739,81,722,0.036
2010,2,המרכז,ראשון לציון,עיר,126886,0.80044927,4809,972,4778,0.0379
2010,2,המרכז,רחובות,עיר,57634,0.826857532,2680,572,2648,0.0465
2010,2,המרכז,רמלה,עיר,32866,0.848172446,1972,131,1920,0.06
2010,2,המרכז,רעננה,עיר,34933,0.870283019,793,296,790,0.0227
2010,2,המרכז,שוהם,מועצה מקומית,9613,0.686440678,199,91,199,0.0207
2010,2,המרכז,תל מונד,מועצה מקומית,5338,0.785714286,150,43,150,0.0281
2010,2,הצפון,אבו סנאן,מועצה מקומית,4800,0.60496614,711,10,707,0.1481
2010,2,הצפון,אכסאל,מועצה מקומית,4675,0.753968254,663,15,661,0.1418
2010,2,הצפון,אעבלין,מועצה מקומית,4740,0.741935484,702,16,701,0.1481
2010,2,הצפון,בועיינה-נוג'ידאת,מועצה מקומית,3199,0.73,519,4,515,0.1622
2010,2,הצפון,בוקעאתא,מועצה מקומית,2406,0.845454545,406,2,396,0.1687
2010,2,הצפון,ביר אל-מכסור,מועצה מקומית,3018,0.737451737,450,2,449,0.1491
2010,2,הצפון,בית ג'ן,מועצה מקומית,4144,0.546255507,351,5,349,0.0847
2010,2,הצפון,בית שאן,מועצה מקומית,9377,0.731800766,904,20,900,0.0964
2010,2,הצפון,בסמת טבעון,מועצה מקומית,2732,0.654822335,326,2,326,0.1193
2010,2,הצפון,בענה,מועצה מקומית,2812,0.715328467,470,1,470,0.1671
2010,2,הצפון,ג'דיידה-מכר,מועצה מקומית,7657,0.740963855,1445,8,1445,0.1887
2010,2,הצפון,ג'ולס,מועצה מקומית,2352,0.6171875,207,8,207,0.088
2010,2,הצפון,ג'ש (גוש חלב),יישוב כפרי,1425,0.552631579,59,5,59,0.0414
2010,2,הצפון,דבורייה,מועצה מקומית,3615,1.018348624,440,19,440,0.1217
2010,2,הצפון,דייר אל-אסד,מועצה מקומית,4137,0.676579926,451,10,451,0.109
2010,2,הצפון,דייר חנא,מועצה מקומית,3947,0.82010582,688,16,688,0.1743
2010,2,הצפון,זרזיר,מועצה מקומית,2471,0.770053476,331,3,328,0.1339
2010,2,הצפון,חורפיש,מועצה מקומית,2080,0.578947368,150,7,150,0.0721
2010,2,הצפון,חצור הגלילית,מועצה מקומית,4509,0.683060109,308,14,297,0.0683
