סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
182       ,אבן יהודה                ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,14538     ,1049      ,3593      ,4706      ,1980      ,1158      ,2052
183       ,ירקונה                   ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,406       ,17        ,81        ,127       ,84        ,30        ,67
184       ,רמת הכובש                ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1018      ,97        ,219       ,299       ,117       ,52        ,234
186       ,נעורים                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,235       ,21        ,22        ,105       ,29        ,26        ,32
187       ,כפר הס                   ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1500      ,100       ,356       ,481       ,276       ,127       ,160
188       ,אשדות יעקב  )מאוחד(      ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,674       ,38        ,115       ,234       ,85        ,74        ,128
189       ,כפר פינס                 ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,653       ,86        ,194       ,209       ,49        ,31        ,84
190       ,כפר ויתקין               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1994      ,131       ,461       ,639       ,341       ,171       ,251
191       ,הדר עם                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,813       ,79        ,226       ,226       ,125       ,64        ,93
192       ,כפר החורש                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,717       ,88        ,135       ,255       ,62        ,65        ,112
193       ,כפר חיים                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,589       ,49        ,124       ,186       ,74        ,50        ,106
194       ,משמר השרון               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,778       ,83        ,141       ,267       ,83        ,64        ,140
195       ,קדימה-צורן               ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,22744     ,1932      ,5568      ,7828      ,3397      ,2123      ,1896
196       ,גיבתון                   ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,375       ,40        ,77        ,118       ,41        ,22        ,77
197       ,מעברות                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1051      ,103       ,178       ,328       ,109       ,91        ,242
198       ,צופית                    ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1085      ,46        ,279       ,311       ,208       ,84        ,157
199       ,אשדות יעקב  )איחוד(      ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,989       ,82        ,247       ,353       ,110       ,63        ,134
200       ,בית ינאי                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,411       ,21        ,77        ,131       ,63        ,38        ,81
202       ,בית עובד                 ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,336       ,20        ,79        ,82        ,49        ,31        ,75
204       ,אלישיב                   ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,720       ,65        ,184       ,249       ,70        ,49        ,103
