employer_name,employer_number,more_details,city,address,decision_date,industry,final_sanction_amount,reason_of_review,law,note,employees_general_number,checked_employees_number,appeal,court_appeal,financial_sanction_reduction,,,,,
"סככות נועה בע""מ",515106623,"<a title=""19562016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19562016.pdf""> 19562016.pdf </a>",קרית גת,מבוא ניסן 6,18/10/2017,אחר,"35,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מטיילי ים המלח בע""מ",511491169,"<a title=""17392016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/17392016.pdf""> 17392016.pdf </a>",ערד,תעשיה 6,18/10/2017,היסעים והובלות,"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
פול גז,,"<a title=""439.2017 (2).pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/439.2017 (2).pdf""> 439.2017 (2).pdf </a>",,"המרכבה 5 , נתניה 5",17/10/2017,תחנות דלק ושרותי רכב,"21,168",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
פול גז ,,"<a title=""439.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/439.2017.pdf""> 439.2017.pdf </a>",נתניה,"המרכבה , נתניה ",17/10/2017,תחנות דלק ושרותי רכב,"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מ.נ עבודות גינון ופיתוח  בע""מ ",514701952,"<a title=""2774.2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2774.2016.pdf""> 2774.2016.pdf </a>",זמר,זמר ,17/10/2017,אחר,"42,960",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"טוטל בוקס בע""מ ",514645555,"<a title=""555-2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/555-2017.pdf""> 555-2017.pdf </a>",,הרצליה ,17/10/2017,"תקשורת, הנדסה ומחשוב",,פנייה,"חוק הגנת השכר תשי""ח-1958",הפחתה בשל מחזור עסקאות ,,,,,,,,,,
"צור (ג.ע. ) לבניין בע""מ ",513820837,"<a title=""636.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/636.2017.pdf""> 636.2017.pdf </a>",נתניה,,17/10/2017,בניין,"105,840",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אקוגרופ הפקות בע""מ ",515342012,"<a title=""346.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/346.2017.pdf""> 346.2017.pdf </a>",ראשון לציון,רוטשילד ,17/10/2017,מסעדות,"35,280",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
קפה ארלוזרוב ,,"<a title=""326.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/326.2017.pdf""> 326.2017.pdf </a>",פתח תקווה,,17/10/2017,מסעדות,"35,280",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"לחם יין בע""מ ",512756289,"<a title=""145.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/145.2017.pdf""> 145.2017.pdf </a>",יהוד-מונוסון,,17/10/2017,מסעדות,"10,080",יזום,"חוק שעות עבודה ומנוחה תשי""א-1951",,,,,,,,,,,
"אינג'קט פתרונות פלסטיק בע""מ ",514987718,"<a title=""674.2017.19.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/674.2017.19.pdf""> 674.2017.19.pdf </a>",נען,,17/10/2017,אחר,"70,560",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"אינג'קט פתרונות פלסטיק בע""מ ",514987718,"<a title=""674.2017.21ב.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/674.2017.21ב.pdf""> 674.2017.21ב.pdf </a>",נען,,17/10/2017,אחר,"70,560",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אינג'קט פתרונות פלסטיק בע""מ ",514987718,"<a title=""674.2017.33.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/674.2017.33.pdf""> 674.2017.33.pdf </a>",נען,,17/10/2017,אחר,"35,280",פנייה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"אינג'קט פתרונות פלסטיק בע""מ ",514987718,"<a title=""674.2017.21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/674.2017.21.pdf""> 674.2017.21.pdf </a>",נען,,17/10/2017,אחר,"35,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"דוד דגים בע""מ",513128462,"<a title=""25272016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/25272016.pdf""> 25272016.pdf </a>",,השקד 15,17/10/2017,מסחר,"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"נווה-יודאייקה איכותית בע""מ",512853219,"<a title=""18412016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/18412016.pdf""> 18412016.pdf </a>",קרית גת,אשלגן 10,17/10/2017,מסחר,"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מיטמרקט הברזל  בע""מ ",540236403,"<a title=""190026513015.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/190026513015.pdf""> 190026513015.pdf </a>",תל אביב - יפו,הברזל ,17/10/2017,שרותי אוכל,"21,168",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
ייעוץ ותכנון אדריכלות חשמל,,"<a title=""190038945015.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/190038945015.pdf""> 190038945015.pdf </a>",,ארליך צבי 3 רחובות,16/10/2017,מסחר,,פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"עבדאללה ובניו פוד בע""מ ",513822270,"<a title=""330009153015.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/330009153015.pdf""> 330009153015.pdf </a>",אור יהודה,המפעל ,16/10/2017,מסעדות,"56,448",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"בטיחות בתנועה בע""מ",510887672,"<a title=""33-3038-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/33-3038-2-2016.pdf""> 33-3038-2-2016.pdf </a>",חיפה,החרמש 24,16/10/2017,תחנות דלק ושרותי רכב,"211,680",פנייה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"בטיחות בתנועה בע""מ",510887672,"<a title=""21-3038-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-3038-2-2016.pdf""> 21-3038-2-2016.pdf </a>",חיפה,החרמש 24,16/10/2017,תחנות דלק ושרותי רכב,"211,680",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"בטיחות בתנועה בע""מ",510887672,"<a title=""19-3038-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-3038-2-2016.pdf""> 19-3038-2-2016.pdf </a>",חיפה,החרמש 24,16/10/2017,תחנות דלק ושרותי רכב,"105,840",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"סושי סנטר אשדוד בע""מ",514331594,"<a title=""330023175015.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/330023175015.pdf""> 330023175015.pdf </a>",,"דיזינגוף 216/19, תל-אביב",16/10/2017,מסעדות,"1,799",פנייה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"א.י.ל.י הובלות 2014 בע""מ",515010486,"<a title=""19682016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19682016.pdf""> 19682016.pdf </a>",גבעתי,,16/10/2017,היסעים והובלות,"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"א. בוטביניקוב-שרותי אבטחה ושמירה בע""מ",513015222,"<a title=""1724-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1724-2-2016.pdf""> 1724-2-2016.pdf </a>",קרית אתא,דרך חיפה 27,15/10/2017,שרותי ניקיון,"190,512",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מי מקרון בע""מ ",514708635,"<a title=""19-003059-3015.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-003059-3015.pdf""> 19-003059-3015.pdf </a>",נתניה,ברקת ראובן 10,03/10/2017,תעשייה,"21,168",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"עמינח רשתות שיווק בע""מ",510402324,"<a title=""9-3136-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/9-3136-2-2016.pdf""> 9-3136-2-2016.pdf </a>",חולון,"מרכז הסיירים, המרכבה 20",02/10/2017,מסחר,"70,560",יזום,"חוק שעות עבודה ומנוחה תשי""א-1951",,,,,,,,,,,
"גימנסיה - בתי ספר תיכוניים ע""ש גולדנר בע""מ",512138330,"<a title=""21-635-3-2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-635-3-2017.pdf""> 21-635-3-2017.pdf </a>",נתניה,רזיאל 11,01/10/2017,חינוך,"35,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"סיירת קוברה בע""מ",514008168,"<a title=""21-3008-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-3008-2-2016.pdf""> 21-3008-2-2016.pdf </a>",בית ג'ן,,01/10/2017,קבלני שירותים (שמירה אבטחה וניקיון),"705,600",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
מבחר הפרי והירק,,"<a title=""21-1013-3-2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1013-3-2017.pdf""> 21-1013-3-2017.pdf </a>",תל אביב - יפו,אחי מאיר 15,26/09/2017,מכירה קמעונאית,"70,560",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
רהיטי מטרצי ,,"<a title=""822.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/822.2017.pdf""> 822.2017.pdf </a>",לוד,גולן ,25/09/2017,מקצועות חופשיים,,פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"גני אליזה בע""מ",512708082,"<a title=""21-7-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-7-2-2016.pdf""> 21-7-2-2016.pdf </a>",פרדס חנה-כרכור,קרן קיימת 19,18/09/2017,אולמות אירועים/שרותי קיטרינג,"70,560",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
רמי דנט- מעבדת שיניים,,"<a title=""21-2222-3-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2222-3-2016.pdf""> 21-2222-3-2016.pdf </a>",תל אביב - יפו,ויצמן 51,14/09/2017,שרותי בריאות וסיעוד,"21,168",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"המרכז הישראלי ל.ע. ברשת בע""מ",514877224,"<a title=""21-2924-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2924-2-2016.pdf""> 21-2924-2-2016.pdf </a>",חיפה,מוריה 107,05/09/2017,"תקשורת, הנדסה ומחשוב","70,560",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"המרכז הישראלי ל.ע. ברשת בע""מ",514877224,"<a title=""19-2924-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-2924-2-2016.pdf""> 19-2924-2-2016.pdf </a>",חיפה,מוריה 107,05/09/2017,"תקשורת, הנדסה ומחשוב","246,960",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"ואשה לגונה בע""מ",513947333,"<a title=""20772016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/20772016.pdf""> 20772016.pdf </a>",ירושלים,יפו 131,05/09/2017,מסחר,"70,560",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"הסעות אפללו בע""מ",511786683,"<a title=""210007085016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/210007085016.pdf""> 210007085016.pdf </a>",,"הרב קוק 14, נתיבות",04/09/2017,היסעים והובלות,"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
שמואל מסלטי בנתיכיה,,"<a title=""190016305016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/190016305016.pdf""> 190016305016.pdf </a>",,"המנופאים 10, כפר-סבא",04/09/2017,היסעים והובלות,"35,280",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"אייץ.בי.אייץ - אחזקה ונכסים בע""מ ",515075828,,תל אביב ,מעון 3,15/08/2017,גינון ותחזוקה לבניינים,,פנייה ,"חוק הגנת השכר, תשי""ח-1958
סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",,2,1,לא,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
זום בי יבוא ושיווק ,,"<a title=""315.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/315.2017.pdf""> 315.2017.pdf </a>",פתח תקווה,אלוף דוד מרכוס,15/08/2017,אחר,"35,280",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"דרך ארץ בטחון בע""מ",512431107,"<a title=""210032494015.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/210032494015.pdf""> 210032494015.pdf </a>",אשדוד,שלזינגר ארווין 1,14/08/2017,קבלני שירותים (שמירה אבטחה וניקיון),,פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"דג בכפר בע""מ",511683708,"<a title=""1707-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1707-2-2016.pdf""> 1707-2-2016.pdf </a>",יקנעם מושבה,יקנעם (מושבה),14/08/2017,פעילות בידור פנאי וספורט,,יזום,"חוק עבודת הנוער תשי""ג-1953",הפחתה בשמל מחזור עסקאות,,,,,,,,,,
"ע.י.נ משיח בע""מ ",512655861,"<a title=""23782016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/23782016.pdf""> 23782016.pdf </a>",אור יהודה,אלעזר דוד,13/08/2017,אולמות אירועים/שרותי קיטרינג,,יזום,"חוק עבודת הנוער תשי""ג-1953",,,,,,,,,,,
"אלופיםפ בביטחון בע""מ",514942622,"<a title=""20262016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/20262016.pdf""> 20262016.pdf </a>",תרום,6,10/08/2017,קבלני שירותים (שמירה אבטחה וניקיון),"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"שור אבטחה בע""מ",513307918,"<a title=""19-003785-3015.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-003785-3015.pdf""> 19-003785-3015.pdf </a>",בת ים,יוספטל 92,09/08/2017,קבלני שירותים (שמירה אבטחה וניקיון),"19,404",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"רן-אל תעשיות בע""מ",513560565,"<a title=""210007435016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/210007435016.pdf""> 210007435016.pdf </a>",,ת.ד 130 ירוחם,09/08/2017,בניין,"21,168",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
א. הכוח לשירותי כוח אדם בע''מ,514594282,"<a title=""1712-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1712-2-2016.pdf""> 1712-2-2016.pdf </a>",אום אל-פחם,שכונת אלמידאן,09/08/2017,קבלני שירותים (שמירה אבטחה וניקיון),"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"רחל רוזנטל בע""מ",514872050,"<a title=""19-2308-3-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-2308-3-2016.pdf""> 19-2308-3-2016.pdf </a>",בני ברק,"האדמו""ר מראדזמין 10",08/08/2017,אולמות אירועים/שרותי קיטרינג,"35,280",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"רבטק בע""מ",511127391,"<a title=""21-003051-3015.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-003051-3015.pdf""> 21-003051-3015.pdf </a>",קיסריה,האופה 2,08/08/2017,"תקשורת, הנדסה ומחשוב","17,640",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"רבטק בע""מ ",511127391,"<a title=""261.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/261.2017.pdf""> 261.2017.pdf </a>",קדימה-צורן,,08/08/2017,תעשיות מתכת,"70,560",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
וופל בר,,"<a title=""210011524016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/210011524016.pdf""> 210011524016.pdf </a>",ירושלים,עמק רפאים 54,08/08/2017,מסעדות,"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ינית לנג'רי בע""מ ",513235200,"<a title=""1967.2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1967.2016.pdf""> 1967.2016.pdf </a>",כפר הנגיד,,07/08/2017,מסחר,"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
חקלאות ,,"<a title=""2941.2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2941.2016.pdf""> 2941.2016.pdf </a>",פורת,משק 90,06/08/2017,חקלאות,"35,280",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
דיילות איי פלוס ,,"<a title=""2232.2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2232.2016.pdf""> 2232.2016.pdf </a>",תל אביב - יפו,,06/08/2017,מקצועות חופשיים,"105,840",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"מען מערכות כוח אדם בע""מ",514576701,"<a title=""30422016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/30422016.pdf""> 30422016.pdf </a>",,צור באחר 71,06/08/2017,קבלני כוח אדם,"211,680",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
ג'אנית אלאטפאל בע''מ,514780899,"<a title=""19-1387-2-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-1387-2-2016.pdf""> 19-1387-2-2016.pdf </a>",יפיע,שכ' אל ג'אבל 514,06/08/2017,חינוך,"564,480",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
אלאמיר עבודות אלומיניום זכוכית,,"<a title=""21-153-2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-153-2017.pdf""> 21-153-2017.pdf </a>",תל אביב - יפו,אור החיים 36,02/08/2017,תעשיות מתכת,"35,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אחים דרבשי בע""מ",514849439,"<a title=""1844.4.2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1844.4.2016.pdf""> 1844.4.2016.pdf </a>",,"ביאליק 20, רמלה",01/08/2017,קבלני כוח אדם,"35,280",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
עבודות אלומיניום,,"<a title=""2731.4.2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2731.4.2016.pdf""> 2731.4.2016.pdf </a>",,"משק 83, מושב מבטחים",31/07/2017,תעשיות מתכת,"70,560",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"פלקון בטחון וניקיון 1996 בע""מ",512358037,"<a title=""1970.4.2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1970.4.2016.pdf""> 1970.4.2016.pdf </a>",,"המלך ג'ורג 38, תל אביב - יפו",30/07/2017,קבלני שירותים (שמירה אבטחה וניקיון),"70,560",פנייה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"המוסך המודרני הכללי בע""מ",513570556,"<a title=""210016944016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/210016944016.pdf""> 210016944016.pdf </a>",ירושלים,עטרות,30/07/2017,תחנות דלק ושרותי רכב,"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"די בי אי סקוור בע""מ ",5155279784,"<a title=""2750.2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2750.2016.pdf""> 2750.2016.pdf </a>",אשדוד,המלאכה ,26/07/2017,אחר,"35,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מונית רעננה בע""מ ",557182466,"<a title=""313.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/313.2017.pdf""> 313.2017.pdf </a>",רעננה,אחוזה ,26/07/2017,היסעים והובלות,"35,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"י. שבח רהיטים בעיצוב חדשני בע""מ ",511915530,"<a title=""528-2018-2.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/528-2018-2.pdf""> 528-2018-2.pdf </a>",ראשון לציון,הכשרת ישוב ,24/07/2017,תעשיית עץ,"105,840",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"י. שבח רהיטים בעיצוב חדשני בע""מ ",511915530,"<a title=""528-2018.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/528-2018.pdf""> 528-2018.pdf </a>",ראשון לציון,הכשרת ישוב ,24/07/2017,תעשיית עץ,"105,840",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"ווין גלובל מאקטס אינק בע""מ ",513552950,"<a title=""749.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/749.2017.pdf""> 749.2017.pdf </a>",תל אביב - יפו,קויפמן ,24/07/2017,"תקשורת, הנדסה ומחשוב","105,840",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
חקלאות,,"<a title=""190003839016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/190003839016.pdf""> 190003839016.pdf </a>",,"משק 75, מושב יכיני",24/07/2017,חקלאות,"127,008",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"י.א הרקולס בע""מ",515264232,"<a title=""190013785016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/190013785016.pdf""> 190013785016.pdf </a>",,"אבות ישורום 4, אשדוד",24/07/2017,מקצועות חופשיים,"42,336",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
גן עירית,,"<a title=""21-2200-2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2200-2016.pdf""> 21-2200-2016.pdf </a>",נתניה,שד לנטוס טום 17,23/07/2017,חינוך,,פנייה,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"איי. די. איי חברה לביטוח בע""מ",513910703,"<a title=""15-41-2-2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/15-41-2-2017.pdf""> 15-41-2-2017.pdf </a>",פתח תקווה,"קרית אריה, רחוב אפעל 35",18/07/2017,"שרותים מקצועיים, טכניים ואישיים","35,280",פנייה,"חוק עבודת נשים תשי""ד-1954",,,,,,,,,,,
"נתן ר.שינוע סחר ועבודות כלליות בע""מ",514544683,"<a title=""17412016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/17412016.pdf""> 17412016.pdf </a>",חלץ,חלץ 74,18/07/2017,אחר,"70,560",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
רן הפצה,,"<a title=""19522016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19522016.pdf""> 19522016.pdf </a>",שדרות,אזור תעשיה,18/07/2017,משלוחים,"35,280",יזום,"חוק הגנת השכר תשי""ח-1958,חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"אור שיווק חדרי ילדים בע""מ",514712512,"<a title=""19732016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19732016.pdf""> 19732016.pdf </a>",שדה עוזיהו,שדה עוזיהו 83,18/07/2017,תעשיית עץ,"35,280",פנייה,"חוק עבודת נשים תשי""ד-1954",,,,,,,,,,,
"מוסך פרומטורס בע""מ ",514625342,"<a title=""2932017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2932017.pdf""> 2932017.pdf </a>",רעננה,התעשיה ,17/07/2017,תחנות דלק ושרותי רכב,"35,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
ביוטי ארט ,,"<a title=""21-328-2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-328-2017.pdf""> 21-328-2017.pdf </a>",תל אביב - יפו,בן יהודה 8,16/07/2017,מסעדות,"35,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"דפוס טורקיז בע""מ ",515183010,"<a title=""621.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/621.2017.pdf""> 621.2017.pdf </a>",חולון,הלהב 6 חולון ,16/07/2017,אחר,"21,168",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"רון ודורית שקד אדריכלות בע""מ ",515033728,"<a title=""2242.2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2242.2017.pdf""> 2242.2017.pdf </a>",באר שבע,שדה יצחק,16/07/2017,מקצועות חופשיים,"21,168",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
פיצרלה,,"<a title=""1775.4.2016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1775.4.2016.pdf""> 1775.4.2016.pdf </a>",,"משק 13, מושב יתד",16/07/2017,מסעדות,"35,280",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"הוד תדלוק ומסחר בע""מ ",511350555,"<a title=""330013503016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/330013503016.pdf""> 330013503016.pdf </a>",הוד השרון,החרש ,13/07/2017,תחנות דלק ושרותי רכב,"71,480",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"רידיס פרוייקטים בע""מ ",514968379,"<a title=""31032016.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/31032016.pdf""> 31032016.pdf </a>",בני ברק,הרב קוק,12/07/2017,בניין,"70,560",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
